class,content_text
Satire,"Pining after a woman it acknowledged it might never have, a frustrated coronavirus particle told reporters Thursday it was not sure how much more it could change about itself to get with local grandmother Beverly Milfay, who received her second dose of a Covid vaccine earlier this month. “I feel like I’ve really evolved a lot, but no matter what I do, it’s still not enough for her,” said the SARS-CoV-2 specimen, claiming that it should have made its move on the 86-year-old last summer when it had the chance. “She’s got everything: She’s elderly, she’s immunocompromised—she’s perfect. But each time I get close to her, she starts putting up all these antibodies. Why won’t she let me in? What do I have to do to get through to her? I worry the only way we’re ever going to be together is if I completely reconfigure my spike proteins and change myself into something I don’t even recognize anymore.” At press time, the coronavirus confided to sources that it hoped Milfay knew it was done fooling around with bats."
Satire,"After conducting a nationwide survey of distribution chains, the Centers for Disease Control confirmed Wednesday it had traced the slow rollout of Covid-19 vaccines to sweet old ladies who, with their cordial but long-winded small talk, were holding up lines across the country. “We could immediately get another 15 or 20 million doses into people’s arms if these elderly women would just keep the chatter to a minimum and move it along,” said CDC director Robert Redfield, citing an incident in which the queue at a Rochester, NY clinic ground to a halt when Marjorie Bickford, a 78-year-old retiree, yammered on and on to nurses about how there sure hadn’t been much snow this year, and some folks were saying springtime might just come early. “We understand these ladies mean well when they ask our health care professionals interminable questions about whether the hospital is always this busy and whether they like the work they do and whether they have any kids at home. But the fact is, we’ve only been able to administer about a third of our current vaccine supply, and if they don’t cut out all the jibber-jabber about how their grandson Mark is 35 and somehow still single despite having a good job and being so handsome, then hundreds of thousands more Americans will die. Clearly we made a mistake when we recommended people 75 and older be given spots at the front of the line.” At press time, CDC officials confirmed further delays in the rollout were being caused by old ladies trying to pay for the vaccine in pennies."
Satire,"In an effort to keep the public abreast of the latest developments in the Covid-19 pandemic, CDC director Robert R. Redfield unveiled a list of Twitter accounts Tuesday that Americans could follow to piece together vaccine information. “Following these reporters, medical researchers, and politically engaged musicians will provide Americans with the updates necessary to cobble together some sense of what exactly is going on with our vaccine rollout,” said Redfield at a press conference in which he and a team of the CDC’s top officials shared the list of 25 social media users that included a retired doctor who seemed “pretty in the know” and a 22-year-old influencer from Los Angeles who “wasn’t informational, per se, but was still fun to read.” “There’s this one account called the Moore Institute that seems pretty legit. We don’t know if they’re a think tank or hospital or what, but they get a lot of retweets. We’re also big fans of this Tacoma area mom who shares screenshots of vital information otherwise hidden behind paywalls. Honestly, without her, we’d be totally in the dark.” At press time, Redfield also recommended everybody follow Harry Styles."
Satire,"As the 10-month-old pandemic continued its rampant spread and the nation’s death toll passed 350,000, top medical scientists attempted Tuesday to convince the American public to take Covid-19 more seriously by issuing a statement in which they patiently clarified the concept of death. “We just want to be perfectly clear about this: When someone dies from coronavirus, that means they’re gone forever, and they never come back,” read the Rutgers University report, which explained that sometimes people who were sick got sick so badly that every part of their whole body ceased to function—including their heart and brain—and that this was a permanent state from which no one could ever recover. “Now, we could understand if you were shrugging off the consequences of Covid because you thought hundreds of thousands of Americans were just sleeping and would wake up eventually. But that simply isn’t the case here. Let’s try this: Have you ever had a pet, maybe a dog or a cat that you loved, and one day it stopped breathing and became very, very still? Maybe you had a little burial out in the yard? So this is the same thing, only it’s happened to almost 2 million people around the world, some of whom lived in your very own community. Notice we say ‘lived,’ in the past tense. That’s because these people are no longer alive. That’s what can happen, and if it does happen to someone you love, you’ll never see them again, and they’ll never see you again, and that will probably be very sad. Hopefully this clears things up a little.” The report coincides with an attempt by top economists to convince Congress to take Covid’s financial effects on the American people more seriously by explaining the concept of people."
Satire,"After consulting with an interagency panel of top public health experts, the Centers for Disease Control and Prevention announced Tuesday that lead vocalist Vince Neil would be the first member of Mötley Crüe to receive a Covid-19 vaccine. “It’s important that we begin the inoculation of Mötley Crüe on the frontlines of the band, starting with those who have the highest level of audience interaction,” said CDC director Robert Redfield, adding that as frontman, Neil qualified for essential worker status, with the band’s limited success during his 1992­–1996 hiatus from the group proving he was vital to its popularity. “From there, we will work our way through all current and former members, taking into consideration various factors like comorbidities, age, and ability to be replaced by a journeyman session player. Getting everyone in the Crüe immunized will take time, and we ask for the patience of valued members like Nikki Sixx, who based on our criteria will likely fall somewhere in the middle, despite his role as the band’s primary songwriter. While there are clearly many variables at work, we do know that because he is the youngest member of the group and can be socially distanced upon a massive drum riser, Tommy Lee may not see a vaccine until 2022—behind not only his own bandmates but also senior members of Ratt, Quiet Riot, and W.A.S.P.” Redfield went on to say that it should be quick and easy for Neil to receive his injection, seeing as he has not worn a shirt with sleeves in the past several decades."
Satire,"In a historic moment that marked the nation’s boldest strike yet against the coronavirus pandemic, officials reported Monday that lab assistant Alexander Durell became the first American to receive the Covid-19 vaccine after accidentally poking himself as he prepared a syringe. “Unfortunately, we couldn’t document the momentous occasion because we were still in the back and no one had their camera ready, but here he is,” said Dr. Helen Gigot of Long Island Jewish Medical Center, motioning to the lab worker who managed to inoculate himself when he tripped on a trash can and knocked over a tray that sent the syringe he had just filled with the Pfizer/BioNTech vaccine flying into his arm. “Despite the many unrelated injuries he incurred from slamming his head on the counter and crushing a tray of test tubes with his hand, the process remains very easy and perfectly safe, and we consider this a success. In fact, after being treated for multiple lacerations and broken ribs, Mr. Durell has been discharged from the ER and is already back at work sweeping up the broken glass.” Durell later became the first American to receive his follow-up dose of the vaccine when he reportedly slipped on a puddle of his own blood, fell backward into a shelving unit, and knocked over several dozen syringes that impaled his legs, chest, and face."
Satire,"Thanking the many Americans who showed interest in getting inoculated against Covid-19, the CDC announced Thursday that everyone who will receive the vaccine has already been notified. “If you have not received an official phone call or letter by now with the date and time of your vaccination appointment, you can assume that you will not be getting one,” said CDC director Robert Redfield, noting that the application deadline for Americans requesting to be vaccinated against the deadly disease rampaging across the country had passed and all doses of the vaccine had been claimed. “You are more than welcome to join the wait-list in case a vial opens up, but I’ll be honest with you: That’s not very likely. There is hope that we could have another batch of the vaccine by 2024; however, those future recipients have already been notified as well.” Redfield strongly advised anyone who was not currently scheduled to be injected with the life-saving vaccine to shelter in place indefinitely."
Satire,"Urging the public to have patience while scientists put the finishing touches on the final kickass product, health officials confirmed Wednesday that they were struggling to secure enough dry ice and laser lights for the coronavirus vaccine’s special effects-heavy rollout. “The vaccine rollout relies on a complex supply chain of fog machines and LED projectors, without which we can’t properly melt people’s minds,” said U.S. Health and Human Services spokesperson Harvey Panozza, adding that the department was working in tandem with the World Health Organization to supply the millions of confetti cannons, strobe lights, and fireworks the vaccine’s show-stopping debut would require. “It’s imperative that this rollout rocks the fuck out of every American. Having the laser lights pulse in sync with the music represents the culmination of thousands of hours of hard work that went into developing an inoculation against Covid-19. A majority of people will get a vaccine presentation that features flashy pyrotechnics and a legendary, axe-shredding guitar solo backed up by a full symphony orchestra, which we’re confident will be trippy as hell.” At press time, health experts warned that rural areas without access to professional special effects designers would need to make do with a few lava lamps and a boombox playing Pink Floyd’s The Dark Side Of The Moon."
Satire,"Pounding yet another Guinness while being cheered on by regulars at her neighborhood pub, Marjorie Davies, a 90-year-old British recipient of the Pfizer-BioNTech Covid-19 vaccine, screamed, “I am immortal!” Tuesday as she embarked on an epic drug-and-boozed-fueled bender. “Nothing can fucking stop me now!” said the inebriated nonagenarian, beginning a debauched binge during which she reportedly punched a Metropolitan Police officer in the face, jumped naked into public fountains, attended her first rave, slept with dozens of strangers, vomited on passersby, and licked every surface in sight. “Holy shit, why on earth did I wait nine decades to try ketamine? I am on fire! Woooo! Anyone wanna drink some of my blood? ’Cause it’s absolutely teeming with antibodies right now!” At press time, sources confirmed Davies had convinced her fellow revelers to keep the party going by hopping a plane to Amsterdam with her."
Satire,"Vowing to conquer the pathogen once and for all, Donald Trump’s personal lawyer Rudy Giuliani shouted, “The virus dies with me!” Tuesday while clambering into Georgetown University Hospital’s incinerator. “Take me, flames, and destroy the disease within,” said the former New York City mayor, hopping up and down in an effort to boost himself into the entrance of the industrial waste burner. “Damn you, coronavirus, you son of a bitch—I’ve bested you at last. Be gone!” At press time, Giuliani was shrieking and writhing on the hospital floor after realizing the inside of the incinerator was extremely hot."
